STATE,GHG QUANTITY (METRIC TONS CO2e)
AK,276869027
AL,1272773713
AR,594498090
AZ,744776270
CA,1520923250
CO,936799140
CT,139924082
DC,4573128
DE,98284809
FL,1797741504
GA,985272779
GU,17339055
HI,116626047
IA,716056325
ID,64282665
IL,1517848436
IN,1952894026
KS,562981353
KY,1286882213
LA,1981468034
MA,193999540
MD,309759640
ME,56647937
MI,1188344080
MN,585371556
MO,1112196040
MS,555862930
MT,285751174
NC,842867236
ND,564043493
NE,421202594
NH,49022787
NJ,347892866
NM,487132868
NV,248539259
NY,583692995
OH,1719822098
OK,1135104796
OR,179796565
PA,1828303424
PR,214166418
RI,49393703
SC,544925956
SD,80767134
TN,652129353
TX,6488670753
UT,546910488
VA,615270913
VI,23054847
VT,6514778
WA,327969057
WI,684770819
WV,1143849231
WY,837470552
